GEOID,State,Pop2000,Pop2010,Pop2020,PctChange00_10,PctChange10_20
01,Alabama,4447100,4779736,5024279,7.5,5.1
04,Arizona,5130632,6392017,7151502,24.6,11.9
05,Arkansas,2673400,2915918,3011524,9.1,3.3
06,California,33871648,37253956,39538223,10,6.1
08,Colorado,4301261,5029196,5773714,16.9,14.8
09,Connecticut,3405565,3574097,3605944,4.9,0.9
10,Delaware,783600,897934,989948,14.6,10.2
11,District of Columbia,572059,601723,689545,5.2,14.6
12,Florida,15982378,18801310,21538187,17.6,14.6
13,Georgia,8186453,9687653,10711908,18.3,10.6
16,Idaho,1293953,1567582,1839106,21.1,17.3
17,Illinois,12419293,12830632,12812508,3.3,-0.1
18,Indiana,6080485,6483802,6785528,6.6,4.7
19,Iowa,2926324,3046355,3190369,4.1,4.7
20,Kansas,2688418,2853118,2937880,6.1,3
21,Kentucky,4041769,4339367,4505836,7.4,3.8
22,Louisiana,4468976,4533372,4657757,1.4,2.7
23,Maine,1274923,1328361,1362359,4.2,2.6
24,Maryland,5296486,5773552,6177224,9,7
25,Massachusetts,6349097,6547629,7029917,3.1,7.4
26,Michigan,9938444,9883640,10077331,-0.6,2
27,Minnesota,4919479,5303925,5706494,7.8,7.6
28,Mississippi,2844658,2967297,2961279,4.3,-0.2
29,Missouri,5595211,5988927,6154913,7,2.8
30,Montana,902195,989415,1084225,9.7,9.6
31,Nebraska,1711263,1826341,1961504,6.7,7.4
32,Nevada,1998257,2700551,3104614,35.1,15
33,New Hampshire,1235786,1316470,1377529,6.5,4.6
34,New Jersey,8414350,8791894,9288994,4.5,5.7
35,New Mexico,1819046,2059179,2117522,13.2,2.8
36,New York,18976457,19378102,20201249,2.1,4.2
37,North Carolina,8049313,9535483,10439388,18.5,9.5
38,North Dakota,642200,672591,779094,4.7,15.8
39,Ohio,11353140,11536504,11799448,1.6,2.3
40,Oklahoma,3450654,3751351,3959353,8.7,5.5
41,Oregon,3421399,3831074,4237256,12,10.6
42,Pennsylvania,12281054,12702379,13002700,3.4,2.4
44,Rhode Island,1048319,1052567,1097379,0.4,4.3
45,South Carolina,4012012,4625364,5118425,15.3,10.7
46,South Dakota,754844,814180,886667,7.9,8.9
47,Tennessee,5689283,6346105,6910840,11.5,8.9
48,Texas,20851820,25145561,29145505,20.6,15.9
49,Utah,2233169,2763885,3271616,23.8,18.4
50,Vermont,608827,625741,643077,2.8,2.8
51,Virginia,7078515,8001024,8631393,13,7.9
53,Washington,5894121,6724540,7705281,14.1,14.6
54,West Virginia,1808344,1852994,1793716,2.5,-3.2
55,Wisconsin,5363675,5686986,5893718,6,3.6
56,Wyoming,493782,563626,576851,14.1,2.3
72,Puerto Rico,3808610,3725789,3285874,-2.2,-11.8
